# EP_MODEL,v5-regime,flag=auto,ship_gate=True
# ARMS,ep=max(floor, affine, dyn_anchor); v5 scales max(affine,dyn_anchor) by m_money*m_pos*m_elite (floor never scaled)
# REGIME,R_now=1.1599,R_bar=2.56783,lambda=0.47699,gamma=0.0,m_money=0.8,m_pos={'QB': 1.0, 'RB': 1.0, 'WR': 1.0, 'TE': 1.0}
# TUNABLES (NOT fitted),m_money_clamp=[0.8, 1.6],m_pos_clamp=[0.85, 1.35],POS_DYN_W={'QB': 1.0, 'WR': 0.9, 'TE': 0.9, 'RB': 0.55},dyn_anchor_$75K,startability_floor_table
# BACKTEST (LOYO 2022-25, credible clears),v4={'mae': 5.595, 'dw_mae': 9.984, 'bias': 0.214, 'n': 126},v5={'mae': 5.421, 'dw_mae': 9.453, 'bias': -0.071, 'n': 126}
# ARM_TRUTH (credible historical clears),{'floor': {'n': 47, 'binding_share': 0.373, 'paid_share': 0.2238, 'mae': 3.426, 'dw_mae': 4.869, 'bias': -0.489}, 'affine': {'n': 76, 'binding_share': 0.6032, 'paid_share': 0.7371, 'mae': 7.0, 'dw_mae': 11.824, 'bias': 0.605}, 'dyn_anchor': {'n': 3, 'binding_share': 0.0238, 'paid_share': 0.039, 'mae': 4.0, 'dw_mae': 4.556, 'bias': 1.333}}
# WARNING,The dynasty-anchor arm binds 73% of the CREDIBLE 2026 board but only 2.4% of credible historical clears (n=3). This is structural, not a sampling accident: franchises do not release high-dynasty players into the FA auction, so the arm that prices most of today's board is essentially UNVALIDATABLE from the archive. POS_DYN_W remains a Keith-tunable judgement call, and the advertised MSE-31/MAE-$3.5K describes the affine arm on ALL clears — a set dominated by $1-2K scrubs — not the number the tool serves on the players you actually bid on.
player,pos,status,owner,dyn_sf_rank,fp_rank,redraft_worth_k,dynasty_worth_k,worth_k,ep_arm_floor_k,ep_arm_affine_k,ep_arm_dyn_anchor_k,ep_arm,m_money,m_pos,m_elite,ep_v4_k,ep_v5_k,ep_k,gap_k,e_apwe_p50,e_apwe_p90,per_apwe,value_ratio,verdict,fit_0008,deal_type,top_competitors
Joshua Palmer,WR,FA,,WR125,WR133,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
CJ Daniels,WR,FA,,WR128,WR123,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Luke McCaffrey,WR,FA,,WR129,WR134,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Jordan Whittington,WR,FA,,WR133,WR129,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Kendrick Bourne,WR,FA,,WR137,WR122,1,3,2,2,3.51,2.7,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Jahan Dotson,WR,FA,,WR138,WR112,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Mack Hollins,WR,FA,,WR139,WR132,1,3,2,2,3.51,2.7,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
KeAndre Lambert-Smith,WR,rostered,The Long Haulers,WR140,WR156,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,DEPTH,cut-free dart,
Xavier Hutchinson,WR,FA,,WR146,WR139,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Tutu Atwell,WR,FA,,WR149,WR140,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Treylon Burks,WR,FA,,WR152,WR116,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Tai Felton,WR,FA,,WR153,WR160,1,3,2,2,3.51,2.7,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Roman Wilson,WR,rostered,CBP,WR158,WR144,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,DEPTH,cut-free dart,
Xavier Restrepo,WR,FA,,WR159,,0,3,2,0,2.67,2.7,dyn_anchor,0.8,1.0,1.0,3,2,2,0,0.0,0.0,,1.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Olamide Zaccheaus,WR,FA,,WR161,WR135,1,3,2,2,3.51,2.7,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Ja'Lynn Polk,WR,FA,,WR166,WR154,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Jacob Cowing,WR,FA,,WR189,WR153,1,3,2,2,3.51,2.7,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Odell Beckham Jr.,WR,FA,,WR251,WR113,1,2,2,2,3.51,1.8,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Spencer Rattler,QB,rostered,CBP,QB50,,0,4,2,0,2.67,4.0,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.0,0.0,,0.67,FAIR,NEED-STUD,cut-free dart,
Quinn Ewers,QB,rostered,The Long Haulers,QB53,,0,5,2,0,2.67,5.0,dyn_anchor,0.8,1.0,1.0,5,4,4,2,0.0,0.0,,0.5,FAIR,NEED-STUD,cut-free dart,
Cole Payton,QB,rostered,Pure Greatness,QB54,,0,3,2,0,2.67,3.0,dyn_anchor,0.8,1.0,1.0,3,2,2,0,0.0,0.0,,1.0,FAIR,NEED-STUD,cut-free dart,
Joe Flacco,QB,FA,,QB55,QB40,2,3,2,6,4.35,3.0,floor,0.8,1.0,1.0,6,6,6,4,0.33,1.05,18.2,0.33,FAIR,NEED-STUD,cut-free dart,Hawks; CBP; HammerTime 🔨 ⏰
Dillon Gabriel,QB,rostered,CBP,QB56,,0,3,2,0,2.67,3.0,dyn_anchor,0.8,1.0,1.0,3,2,2,0,0.0,0.0,,1.0,FAIR,NEED-STUD,cut-free dart,
Davis Mills,QB,FA,,QB57,,0,4,2,0,2.67,4.0,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.0,0.0,,0.67,FAIR,NEED-STUD,cut-free dart,Hawks; CBP; HammerTime 🔨 ⏰
Riley Leonard,QB,FA,,QB58,,0,5,2,0,2.67,5.0,dyn_anchor,0.8,1.0,1.0,5,4,4,2,0.0,0.0,,0.5,FAIR,NEED-STUD,cut-free dart,Hawks; CBP; HammerTime 🔨 ⏰
Tanner McKee,QB,rostered,Sex Manther,QB60,,0,3,2,0,2.67,3.0,dyn_anchor,0.8,1.0,1.0,3,2,2,0,0.0,0.0,,1.0,FAIR,NEED-STUD,cut-free dart,
Trey Lance,QB,FA,,QB62,,0,3,2,0,2.67,3.0,dyn_anchor,0.8,1.0,1.0,3,2,2,0,0.0,0.0,,1.0,FAIR,NEED-STUD,cut-free dart,Hawks; CBP; HammerTime 🔨 ⏰
Gardner Minshew II,QB,FA,,QB63,,0,5,2,0,2.67,5.0,dyn_anchor,0.8,1.0,1.0,5,4,4,2,0.0,0.0,,0.5,FAIR,NEED-STUD,cut-free dart,Hawks; CBP; HammerTime 🔨 ⏰
Tyler Huntley,QB,FA,,QB64,,0,3,2,0,2.67,3.0,dyn_anchor,0.8,1.0,1.0,3,2,2,0,0.0,0.0,,1.0,FAIR,NEED-STUD,cut-free dart,Hawks; CBP; HammerTime 🔨 ⏰
Tyrod Taylor,QB,FA,,QB66,QB51,2,1,2,2,4.35,1.0,affine,0.8,1.0,1.0,4,3,3,1,0.25,0.52,12.0,0.67,FAIR,NEED-STUD,cut-free dart,Hawks; CBP; HammerTime 🔨 ⏰
Sam Roush,TE,rostered,Sex Manther,TE47,TE70,1,3,2,2,3.51,2.7,affine,0.8,1.0,1.0,4,3,3,1,0.16,0.01,18.8,0.67,FAIR,DEPTH,cut-free dart,
Tanner Koziol,TE,FA,,TE50,TE55,1,2,2,2,3.51,1.8,affine,0.8,1.0,1.0,4,3,3,1,0.23,0.01,13.0,0.67,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Jack Endries,TE,FA,,TE52,TE59,1,3,2,2,3.51,2.7,affine,0.8,1.0,1.0,4,3,3,1,0.21,0.01,14.3,0.67,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Jonnu Smith,TE,rostered,HammerTime 🔨 ⏰,TE54,TE78,1,3,2,2,3.51,2.7,affine,0.8,1.0,1.0,4,3,3,1,0.13,0.01,23.1,0.67,FAIR,DEPTH,cut-free dart,
Noah Fant,TE,FA,,TE57,,0,4,2,0,2.67,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.0,0.0,,0.67,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Elijah Higgins,TE,FA,,TE62,TE60,1,3,2,2,3.51,2.7,affine,0.8,1.0,1.0,4,3,3,1,0.2,0.01,15.0,0.67,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Will Kacmarek,TE,FA,,TE66,TE68,1,2,2,2,3.51,1.8,affine,0.8,1.0,1.0,4,3,3,1,0.16,0.01,18.8,0.67,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Mitchell Evans,TE,FA,,TE67,TE62,1,3,2,2,3.51,2.7,affine,0.8,1.0,1.0,4,3,3,1,0.19,0.01,15.8,0.67,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Daniel Bellinger,TE,FA,,TE81,TE69,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.16,0.01,18.8,0.67,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Kareem Hunt,RB,FA,,RB101,,0,2,1,0,2.67,1.1,affine,0.8,1.0,1.0,3,2,2,1,0.0,0.0,,0.5,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Jeff Caldwell,WR,FA,,WR136,WR164,1,1,1,2,3.51,0.9,affine,0.8,1.0,1.0,4,3,3,2,0.12,0.03,25.0,0.33,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Malik Benson,WR,FA,,WR142,WR131,1,1,1,2,3.51,0.9,affine,0.8,1.0,1.0,4,3,3,2,0.12,0.03,25.0,0.33,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Mitchell Trubisky,QB,FA,,QB78,QB52,2,0,1,2,4.35,0.0,affine,0.8,1.0,1.0,4,3,3,2,0.25,0.52,12.0,0.33,FAIR,NEED-STUD,cut-free dart,Hawks; CBP; HammerTime 🔨 ⏰
Andy Dalton,QB,FA,,QB82,QB53,2,0,1,1,4.35,0.0,affine,0.8,1.0,1.0,4,3,3,2,0.24,0.52,12.5,0.33,FAIR,NEED-STUD,cut-free dart,Hawks; CBP; HammerTime 🔨 ⏰
Marlin Klein,TE,FA,,TE49,,0,2,1,0,2.67,1.8,affine,0.8,1.0,1.0,3,2,2,1,0.0,0.0,,0.5,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Zach Ertz,TE,FA,,TE60,,0,2,1,0,2.67,1.8,affine,0.8,1.0,1.0,3,2,2,1,0.0,0.0,,0.5,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Nate Boerkircher,TE,FA,,TE65,TE64,1,1,1,2,3.51,0.9,affine,0.8,1.0,1.0,4,3,3,2,0.18,0.01,16.7,0.33,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Charlie Kolar,TE,FA,,TE88,TE44,2,0,1,2,4.35,0.0,affine,0.8,1.0,1.0,4,3,3,2,0.3,0.01,10.0,0.33,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Roman Hemby,RB,FA,,RB90,,0,1,0,0,2.67,0.55,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Michael Carter,RB,FA,,RB99,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Audric Estime,RB,FA,,RB104,RB99,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.42,25.0,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Nick Chubb,RB,FA,,RB105,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Jaleel McLaughlin,RB,FA,,RB108,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Terion Stewart,RB,FA,,RB109,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Noah Whittington,RB,FA,,RB110,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
CJ Donaldson,RB,FA,,RB111,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Dean Connors,RB,FA,,RB112,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Daylan Smothers,RB,FA,,RB113,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Chip Trayanum,RB,FA,,RB114,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Jaydn Ott,RB,FA,,RB115,RB103,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.42,25.0,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Desmond Reid,RB,FA,,RB116,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Rahsul Faison,RB,FA,,RB117,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Mark Fletcher,RB,FA,,RB119,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Antonio Gibson,RB,FA,,RB122,RB91,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.42,25.0,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Bam Knight,RB,FA,,RB123,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Miles Sanders,RB,FA,,RB125,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Raheem Mostert,RB,FA,,RB126,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Ty Chandler,RB,FA,,RB128,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Tyler Badie,RB,FA,,RB129,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Austin Ekeler,RB,FA,,RB130,RB105,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.42,25.0,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Jawhar Jordan,RB,FA,,RB131,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Jeremy McNichols,RB,FA,,RB132,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Kalel Mullings,RB,FA,,RB133,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Elijah Mitchell,RB,FA,,RB134,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Zamir White,RB,FA,,RB135,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Khalil Herbert,RB,FA,,RB136,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Tyler Goodson,RB,FA,,RB137,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Alexander Mattison,RB,FA,,RB138,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
AJ Dillon,RB,FA,,RB139,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Hassan Haskins,RB,FA,,RB141,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Cam Akers,RB,FA,,RB142,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Donovan Edwards,RB,FA,,RB143,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Ameer Abdullah,RB,FA,,RB144,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Kenny McIntosh,RB,FA,,RB145,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Gus Edwards,RB,FA,,RB146,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Eric Gray,RB,FA,,RB147,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Dare Ogunbowale,RB,FA,,RB148,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Evan Hull,RB,FA,,RB149,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Zack Moss,RB,FA,,RB150,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Sincere McCormick,RB,FA,,RB151,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Jaret Patterson,RB,FA,,RB152,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Carson Steele,RB,FA,,RB153,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Cody Schrader,RB,FA,,RB154,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Craig Reynolds,RB,FA,,RB155,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Trey Sermon,RB,FA,,RB156,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Marcus Yarns,RB,FA,,RB157,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Israel Abanikanda,RB,FA,,RB158,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Pierre Strong Jr.,RB,FA,,RB159,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Clyde Edwards-Helaire,RB,FA,,RB160,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Deuce Vaughn,RB,FA,,RB161,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
DeeJay Dallas,RB,FA,,RB162,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Frank Gore Jr.,RB,FA,,RB163,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Keaontay Ingram,RB,FA,,RB164,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
D'Onta Foreman,RB,FA,,RB165,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Keilan Robinson,RB,FA,,RB166,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Blake Watson,RB,FA,,RB167,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Kendall Milton,RB,FA,,RB168,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Deneric Prince,RB,FA,,RB169,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Cordarrelle Patterson,RB,FA,,RB170,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
D'Ernest Johnson,RB,FA,,RB171,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Joshua Kelley,RB,FA,,RB172,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Jeff Wilson Jr.,RB,FA,,RB173,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Dillon Johnson,RB,FA,,RB174,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Dalvin Cook,RB,FA,,RB175,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Daijun Edwards,RB,FA,,RB176,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Salvon Ahmed,RB,FA,,RB177,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Ronnie Rivers,RB,FA,,RB178,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Julius Chestnut,RB,FA,,RB179,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Chase Edmonds,RB,FA,,RB180,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
